id,per_square_meter_price
COL_289284,38859.383469096356
COL_289305,41407.59261479157
COL_289318,41603.01288357122
COL_289354,107678.75808083481
COL_289399,48136.4260806705
COL_289428,48480.90049205551
COL_289460,54163.545815693295
COL_289493,61180.25347873706
COL_289495,49704.82439691127
COL_289749,53941.96252389565
COL_289763,213695.95181802794
COL_289778,64287.529379390435
COL_289801,35979.67080280068
COL_289971,38833.76578457977
COL_290143,54428.11379549833
COL_290169,77029.08627563604
COL_290252,27826.424114628495
COL_290336,31109.260193217848
COL_290398,36912.499150734446
COL_290403,47605.15143955394
COL_290431,35443.523300316185
COL_290466,50933.84857181406
COL_290486,56849.33995187084
COL_290497,28733.15152936785
COL_290510,48446.8151235672
COL_290559,44952.90161036564
COL_290600,78945.15884958583
COL_290602,71918.31650898403
COL_290716,43637.16476639629
COL_290717,26044.828050366432
COL_290876,48060.97803130458
COL_290966,33246.47596820076
COL_291008,38003.28640581666
COL_291021,147201.47153211673
COL_291043,70997.81656672216
COL_291190,59992.18011522398
COL_291192,52413.78256445036
COL_291274,44631.52208472333
COL_291284,76328.36253103512
COL_291397,35005.90393526011
COL_291450,62983.47229667168
COL_291738,69261.31487868074
COL_291740,33344.25503864017
COL_291825,35121.599326345786
COL_291900,49231.50128182333
COL_292045,76070.95404671525
COL_292135,44299.32846711404
COL_292258,38084.92094509002
COL_292275,28472.041614493883
COL_292279,55459.09252243194
COL_292364,57734.59931505746
COL_292417,36458.511788491014
COL_292421,49345.66609215607
COL_292501,50447.64839029367
COL_292654,83988.04545056222
COL_292906,55536.35504413732
COL_292926,28547.024027860014
COL_293123,54263.671716243574
COL_293135,34675.13470592172
COL_293496,47873.382918517025
COL_293497,46766.38813354732
COL_293588,192167.13025595804
COL_293614,154565.41078591524
COL_293631,82777.24422205379
COL_293703,33493.39069991222
COL_293773,33314.718179870804
COL_293780,51432.52401149297
COL_293783,32790.21484067217
COL_293826,40208.9512997142
COL_293889,95044.76397633945
COL_293952,55102.46381516341
COL_293956,39193.41368492792
COL_294068,69601.82672978904
COL_294101,56108.88086636867
COL_294115,45369.98336626274
COL_294143,39534.64388130207
COL_294200,40226.75934001082
COL_294245,29712.527570039525
COL_294261,27853.622847705272
COL_294293,62060.219503200315
COL_294300,59325.02944817393
COL_294350,44954.56020859334
COL_294488,52895.178328256414
COL_294525,57485.410546790314
COL_294553,39978.87938662399
COL_294558,47724.207067069605
COL_294593,45194.40197191847
COL_294691,56950.08086090051
COL_294716,29142.73712489055
COL_294729,55373.122086053634
COL_294785,62000.10365008521
COL_294917,65783.36714509208
COL_294951,31259.824036497488
COL_294975,41030.25475611735
COL_295255,30483.89791454042
COL_295327,21467.572543807364
COL_295509,38073.63653115538
COL_295595,60082.95140322697
COL_296322,39758.88783906475
COL_296509,31278.328512066026
COL_296521,241598.6214491565
COL_296756,32332.09834462508
COL_296901,54411.75428222591
COL_297293,38877.164837559394
COL_297324,38912.70195185349
COL_297326,53665.33521886669
COL_297329,38671.98739523682
COL_297441,38774.64154642577
COL_297472,37410.80588713246
COL_297631,63300.78054484905
COL_297815,92710.60039204374
COL_298020,37065.272518564794
COL_298046,62633.15054987499
COL_298052,42570.15283672862
COL_298055,104231.4017643146
COL_298064,58323.02556443599
COL_298075,71561.37000742625
COL_298099,41185.71564868172
COL_298101,78055.2182665713
COL_298102,51438.90707338739
COL_298103,36247.79428121386
COL_298104,45904.85271931534
COL_298261,61283.718865017654
COL_298459,254569.3672699131
COL_298471,37291.033192263334
COL_298481,60032.9060246335
COL_298516,52312.08900585859
COL_298532,36764.431297997675
COL_298539,39711.271058597405
COL_298593,230057.1056688025
COL_298719,32768.15367609435
COL_298724,44301.759709567355
COL_298733,33190.785592385044
COL_298817,93261.60661714266
COL_298837,50614.01122420892
COL_298968,235500.50185427326
COL_299209,62995.960314467564
COL_299221,291396.31914911995
COL_299361,49917.54979029949
COL_299366,55205.88143167051
COL_299450,92594.77019122148
COL_299454,59014.66658516507
COL_299455,83215.9517692701
COL_299459,78947.47235200886
COL_299464,37915.76117041692
COL_299468,63988.12363929327
COL_299486,54675.23435082697
COL_299491,95892.96507830737
COL_299497,62452.76517388416
COL_299499,51142.285531328416
COL_299501,91180.04091495588
COL_299540,46528.269671875765
COL_299615,52227.768453978555
COL_299659,187102.00991149695
COL_299678,158745.84465711127
COL_299795,33900.402794249916
COL_299818,44942.956439567875
COL_299819,88010.9170277078
COL_299820,100105.6033424073
COL_299960,54788.484167267845
COL_300095,70336.78622863957
COL_300108,203591.9323086348
COL_300125,31610.62503336447
COL_300144,298726.27429657546
COL_300225,42798.313592436396
COL_300305,269579.11366671696
COL_300423,41014.64511330923
